LocationId,LocationCity,StateProvince,CountryId,LocationZip
145,Metchosin,British Columbia,4,V9
146,Columbus,Georgia,3,31901
147,Barstow,California,3,92311
148,Caloundra,Queensland,5,4551
149,Offenbach,Saarland,1,63009
150,Grossmont,California,3,91941
151,Chula Vista,California,3,91910
152,Novato,California,3,94947
153,Fremont,California,3,94536
154,Paris,Seine (Paris),2,75007
155,City Of Commerce,California,3,90040
156,Cedar City,Utah,3,84720
157,Bountiful,Utah,3,84010
158,Morangis,Essonne,2,91420
159,Wokingham,England,6,RG41 1QW
160,Saarlouis,Saarland,1,66740
161,Columbus,Ohio,3,43215
162,Puyallup,Washington,3,98371
163,North Ryde,New South Wales,5,2113
164,Paris,Seine (Paris),2,75016
165,Walla Walla,Washington,3,99362
166,San Gabriel,California,3,91776
167,W. York,England,6,BD1 4SJ
168,Berlin,Nordrhein-Westfalen,1,10501
169,Bellevue,Washington,3,98004
170,Brisbane,Queensland,5,4000
171,Westminster,British Columbia,4,V3L 1H4
172,London,England,6,W1N 9FA
173,London,England,6,W1Y 3RA
174,Branch,Minnesota,3,55056
175,Basingstoke Hants,England,6,RG24 8PL
176,Suresnes,Hauts de Seine,2,92150
177,Seattle,Washington,3,98104
178,Lille,Nord,2,59000
179,Newcastle,New South Wales,5,2300
180,Paris,Seine (Paris),2,75006
181,Canoga Park,California,3,91303
182,Roubaix,Nord,2,59100
183,Reading,England,6,RG7 5H7
184,North Sydney,New South Wales,5,2055
185,Duesseldorf,Hessen,1,40434
186,Lakewood,California,3,90712
187,Milsons Point,New South Wales,5,2061
188,Paderborn,Nordrhein-Westfalen,1,33098
189,Bobigny,Seine Saint Denis,2,93000
190,Santa Monica,California,3,90401
191,Paris,Seine (Paris),2,75010
192,Gloucestershire,England,6,GL7 1RY
193,London,England,6,SW8 4BG
194,Leipzig,Nordrhein-Westfalen,1,4139
195,East Brisbane,Queensland,5,4169
196,W. Linn,Oregon,3,97068
197,Saint Ouen,Charente-Maritime,2,17490
198,San Carlos,California,3,94070
199,Frankfurt,Bayern,1,91480
200,Billericay,England,6,CM11
201,Cambridge,England,6,CB4 4BZ
202,Biloxi,Mississippi,3,39530
203,Berkeley,California,3,94704
204,Carson,California,3,90746
205,Palo Alto,California,3,94303
206,Stuttgart,Saarland,1,70511
207,Milton Keynes,England,6,MK8 8DF
208,South Melbourne,Victoria,5,3205
209,Neunkirchen,Saarland,1,66578
210,Burien,Washington,3,98168
211,Milwaukie,Oregon,3,97222
212,London,England,6,SW8 1XD
213,Burnaby,British Columbia,4,V3J 6Z3
214,Berlin,Hessen,1,12171
215,Dresden,Hessen,1,1071
216,National City,California,3,91950
217,M�nchen,Nordrhein-Westfalen,1,80074
218,Warrington,England,6,WA1
219,West Covina,California,3,91791
220,Shawnee,British Columbia,4,V9B 5T2
221,Lavender Bay,New South Wales,5,2060
222,Dunkerque,Nord,2,59140
223,Essen,Hamburg,1,45001
224,Oakland,California,3,94611
225,Milton Keynes,England,6,MK8 8ZD
226,M�hlheim,Hamburg,1,63151
227,Carol Stream,Illinois,3,60188
228,Braunschweig,Nordrhein-Westfalen,1,38001
229,Silverwater,New South Wales,5,2264
230,Colombes,Hauts de Seine,2,92700
231,La Jolla,California,3,92806
232,Courbevoie,Hauts de Seine,2,92400
233,Hawthorne,Queensland,5,4171
234,Geelong,Victoria,5,3220
235,Lincoln Acres,California,3,91950
236,Colma,California,3,94014
237,Woolston,England,6,WA1 4SY
238,Cerritos,California,3,90703
239,Billings,Montana,3,59101
240,Port Hammond,British Columbia,4,V6B 3P7
241,Werne,Nordrhein-Westfalen,1,59368
242,Saint Ouen,Somme,2,80610
243,Bonn,Nordrhein-Westfalen,1,53131
244,Haney,British Columbia,4,V2W 1W2
245,Malabar,New South Wales,5,2036
246,Newport Beach,California,3,92625
247,Woodburn,Oregon,3,97071
248,Hobart,Tasmania,5,7001
249,Santa Cruz,California,3,95062
250,Darmstadt,Hessen,1,64283
251,Bonn,Hamburg,1,53131
252,London,England,6,SW6 SBY
253,Paris,Seine (Paris),2,75012
254,Berks,England,6,SL4 1RH
255,Bracknell,England,6,RG12 8TB
256,Sydney,New South Wales,5,1002
257,Kassel,Hessen,1,34117
258,Cliffside,British Columbia,4,V8Y 1L1
259,Grevenbroich,Bayern,1,41485
260,Renton,Washington,3,98055
261,Berlin,Hamburg,1,10210
262,Chicago,Illinois,3,60610
263,Bonn,Hamburg,1,53001
264,M�nchen,Hessen,1,80074
265,Clarkston,Georgia,3,30021
266,Clackamas,Oregon,3,97015
267,Los Angeles,California,3,90012
268,Bottrop,Nordrhein-Westfalen,1,46236
269,Chandler,Arizona,3,85225
270,Frankfurt am Main,Hamburg,1,60082
271,Lynnwood,Washington,3,98036
272,Cergy,Val d'Oise,2,95000
273,Cheyenne,Wyoming,3,82001
274,Salem,Oregon,3,97301
275,Redmond,Washington,3,98052
276,Lane Cove,New South Wales,5,1597
277,Edmonds,Washington,3,98020
278,Branson,Missouri,3,65616
279,Croix,Nord,2,59170
280,Berlin,Hamburg,1,14111
281,Clay,New York,3,13041
282,Hamburg,Hamburg,1,20354
283,Berlin,Hamburg,1,10791
284,San Diego,California,3,92102
285,Rhodes,New South Wales,5,2138
286,Paris,Seine (Paris),2,75019
287,Berlin,Saarland,1,12311
288,Cheektowaga,New York,3,14227
289,Spring Valley,California,3,91977
290,Sulzbach Taunus,Saarland,1,66272
291,Kiel,Saarland,1,24044
292,Poing,Saarland,1,66041
293,Bradenton,Florida,3,34205
294,Rockhampton,Queensland,5,4700
295,Portland,Oregon,3,97205
296,Birmingham,England,6,B29 6SL
297,Hamburg,Hessen,1,22001
298,Seaford,Victoria,5,3198
299,Watford,England,6,WA3
300,Paris La Defense,Hauts de Seine,2,92081
301,Ballard,Washington,3,98107
302,Westminster,British Columbia,4,V3L 1E7
303,Vancouver,British Columbia,4,V7L 4J4
304,Sooke,British Columbia,4,V0
305,Wollongong,New South Wales,5,2500
306,Coffs Harbour,New South Wales,5,2450
307,London,England,6,W1X3SE
308,Hof,Bayern,1,95010
309,Downey,California,3,90241
310,Darlinghurst,New South Wales,5,2010
311,West Sussex,England,6,RH15 9UD
312,Oak Bay,British Columbia,4,V8P
313,London,England,6,W1V 5RN
314,M�nchen,Hamburg,1,80074
315,Cheltenham,England,6,GL50
316,College Station,Texas,3,77840
317,Duesseldorf,Hessen,1,40605
318,Campbellsville,Kentucky,3,42718
319,Baytown,Texas,3,77520
320,Melton,Victoria,5,3337
321,Port Macquarie,New South Wales,5,2444
322,Everett,Washington,3,98201
323,Springwood,New South Wales,5,2777
324,Victoria,British Columbia,4,V8V
325,Salzgitter,Hessen,1,38231
326,El Cajon,California,3,92020
327,Peterborough,England,6,PB12
328,Findon,South Australia,5,5023
329,Newton,British Columbia,4,V2L3W8
330,Paris,Seine (Paris),2,75008
331,Berlin,Saarland,1,14197
332,Melbourne,Victoria,5,3000
333,Oxford,England,6,OX1
334,Burbank,California,3,91502
335,Shawnee,British Columbia,4,V8Z 4N5
336,Kirkby,England,6,KB9
